username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
23f2003544,6,1,0,4,6,6,0,0,0,0,0,0,0,0,0.0
Suspicious_Stick,3,6,0,4,3,11,0,0,0,0,0,0,0,0,0.0
23f3002277,2,1,0,1,9,1,5,0,0,0,0,0,0,0,0.0
23f2004388,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
23f2004340,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
23f3003841,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Satya_C,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
IITMNA,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.0
21f3001195,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
22f2000631,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0.0
23f1000687,1,6,0,0,14,5,0,0,0,0,0,3,0,0,3.0
Nikhil,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0
Siddhant_G,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0.0
23f2003845,1,8,0,0,19,9,0,0,0,0,0,5,0,0,5.0
Arun2,8,3,0,0,3,3,0,0,0,0,0,0,0,0,0.0
23f3004504,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.0
shreya123,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
23f1002382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
deepa_2022,0,1,0,1,4,4,0,1,0,0,0,0,0,0,0.0
Krishna444,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0
23f2005522,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
23f3001021,5,4,0,3,32,14,2,0,0,0,0,6,0,0,7.0
22f3001902,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0
23f2003887,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
23f3004033,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0.0
Jivraj,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0.0
23f3003513,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
harshze,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23f2000421,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0.0
Rii_chaa,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0.0
23f1002741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24ds1000042,0,1,0,2,2,5,0,0,0,0,0,0,0,0,0.0
23f2002036,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0.0
21f3002073,4,2,0,0,13,5,5,0,0,0,0,3,0,0,3.0
23f1000725,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23f1002232,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
23f3002391,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0.0
ITz_INX,15,5,0,12,22,27,0,0,0,0,0,0,0,0,0.0
jkmadathil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PulkitMangal,7,96,0,2,148,73,72,0,0,0,0,46,0,0,54.0
23f1000141,1,1,0,2,4,6,2,0,0,0,0,0,0,0,0.0
22f2001590,21,20,0,1,48,12,25,0,25,0,0,14,0,0,16.0
23f3003018,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0
23ds3000040,0,0,0,4,3,8,1,0,0,0,0,0,0,0,0.0
23ds3000152,5,1,0,6,7,10,3,0,1,0,0,0,0,0,0.0
Kartik,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0.0
23f2003570,9,1,0,0,2,1,0,0,0,0,0,0,0,0,0.0
2old2learn,0,5,0,1,3,2,1,0,0,0,0,0,0,0,0.0
23f3004195,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
24ds1000043,5,5,0,2,7,7,0,0,0,0,0,0,0,0,0.0
22f3000180,1,3,0,0,4,3,0,0,32,0,0,0,0,0,0.0
