username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
Raunak_Sen,10,0,0,0,3,2,0,0,0,0,0,0,0,0,0.0
Mayur,6,0,0,1,2,5,1,0,0,0,0,0,0,0,0.0
23f1001468,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0.0
gNIKHIL,6,7,0,1,11,8,1,0,0,0,0,0,0,0,0.0
SunnyArya01,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0.0
22f1000049,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0.0
23f1002493,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
Prekshaa,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Palash_25,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
21f1006477,0,1,0,2,2,3,2,0,0,0,0,0,0,0,0.0
21f2000243,2,2,0,1,2,2,1,0,0,0,0,0,0,0,0.0
ASR,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0.0
Anand,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0.0
22f3002744,2,4,0,1,2,3,0,0,0,0,0,0,0,0,0.0
shijusn,1,1,0,2,4,5,0,0,0,0,0,0,0,0,0.0
aaysha007,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0.0
22f1000718,3,1,0,2,1,0,2,0,0,0,0,0,0,0,0.0
KUSHAL_MISHRA,0,2,0,2,3,3,0,0,0,0,0,0,0,0,0.0
Amitpat,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0.0
21f3002636,0,2,0,1,1,4,0,0,0,0,0,0,0,0,0.0
21f2001224,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0.0
22f1000734,3,3,0,1,5,6,0,0,0,0,0,1,0,0,1.0
ramya_ranjan_rath,2,6,0,0,9,5,0,0,0,0,0,0,0,0,0.0
21f2000485,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Nihila,5,1,0,6,4,5,0,0,0,0,0,0,0,0,0.0
ulagammai,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
21f3000991,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.0
21f3002680,1,3,0,1,3,4,0,0,0,0,0,0,0,0,0.0
22f3000959,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
Zer0o,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f3001649,0,0,0,1,2,5,1,0,0,0,0,0,0,0,0.0
21f2001481,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0.0
devansh.rungta,0,3,0,2,3,1,1,0,0,0,0,0,0,0,0.0
aachyuthh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f3001237,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0
21f2000655,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0.0
Zero,6,2,0,0,5,2,1,0,0,0,0,1,0,1,1.0
22f1000950,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
kabirmalik199,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0
22f1000916,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
22f2001152,1,3,0,4,7,5,0,0,0,0,0,0,0,0,0.0
22f2001036,3,16,0,1,28,14,1,0,0,0,0,0,0,0,0.0
