username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
chaitanya353535,5,7,0,2,18,14,3,0,1,0,0,4,0,0,4.0
diwakar999,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.0
21f1005146,15,20,0,6,9,15,0,0,1,0,0,0,0,0,0.0
ParagSeth,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0.0
muharnmad,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0
KAPS_ON_AIR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
22f3001578,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
22f1000068,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0.0
AaM_Admi,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
22f1000522,10,16,0,0,5,1,0,0,0,0,0,0,0,0,0.0
suhas26,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0.0
rajinips,2,2,0,1,0,1,1,0,2,0,0,0,0,0,0.0
himanshutiwari16,10,6,0,4,13,8,1,0,0,0,0,0,0,0,0.0
Adhya,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0.0
Amitabhab,0,8,0,1,0,4,0,1,0,0,0,0,0,0,0.0
21f3001834,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0.0
22f3002048,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0.0
21f2001428,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0.0
23f1001746,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0.0
22f3002029,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
23ds2000070,0,0,0,1,4,2,2,0,1,0,0,0,0,0,0.0
Sajin_Akash_B_R,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.0
22f2001536,7,2,0,1,1,4,0,0,0,0,0,0,0,0,0.0
Divyang_Panchasara,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Harvinder_Singh,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0
21f2000885,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0.0
21f3002050,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0
89shayan,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0.0
navabeetha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22f2000223,1,2,0,5,6,7,1,0,0,0,0,1,0,0,1.0
ishitajoshi,0,1,0,1,4,2,1,0,0,0,0,0,0,0,0.0
sama,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Sirius,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0.0
sayan,20,13,0,1,21,18,4,0,0,0,0,1,0,0,1.0
RitikKaushal,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
22f2001384,1,5,0,1,1,8,0,0,0,0,0,0,0,0,0.0
Jacob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23ds3000201,1,1,0,3,0,4,0,0,0,0,0,0,0,0,0.0
22f1001809,0,1,0,2,1,5,0,0,0,0,0,0,0,0,0.0
21f2000707,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0.0
RITAM17,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f2001351,4,5,0,4,14,12,0,0,0,0,0,0,0,0,1.0
21f1006580,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
M_NAGARAJAN,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.0
Nitish_Shukla,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0.0
23ds1000113,22,34,0,1,5,46,1,0,0,0,0,0,0,0,0.0
22f3002031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Lkd,9,1,0,0,2,1,0,0,0,0,0,0,0,0,0.0
21f2000730,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f3001232,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1.0
22f3001632,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0.0
22ds1000023,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0.0
22f2001255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Teja1,6,1,0,1,3,2,0,0,0,0,0,0,0,0,0.0
Amit_Kumar,1,9,0,2,2,0,0,0,0,0,0,0,0,0,0.0
Nutan_Patil,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
21f3003090,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
22f2000945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
shriaviator,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0.0
jimmi,1,10,0,0,14,7,34,0,0,0,0,3,0,0,3.0
Kakashi_sensei,8,13,0,3,5,9,1,0,0,0,0,0,0,0,0.0
dipakpatil,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
priyanshu_singh,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0.0
22f1000012,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0.0
singhyash3302,2,2,0,10,4,29,1,0,0,0,0,0,0,0,0.0
21f1000196,4,3,0,2,4,8,0,0,0,0,0,0,0,0,1.0
aaruni-kale,69,12,0,3,16,27,1,0,0,0,0,1,0,0,1.0
21f3001205,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0.0
hemant86,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
21f2001293,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f3002486,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
priyadarsh,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0.0
orangemegamind,2,0,0,1,7,1,0,0,0,0,0,0,0,0,0.0
utkarshsingh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
nikitadhona,0,3,0,1,5,2,0,0,0,0,0,0,0,0,0.0
21f3000292,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Devarayi,33,5,0,7,24,19,0,0,0,0,0,0,0,0,0.0
21f2001271,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0.0
Karthik_POD,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0.0
S_Sathya_Priya,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
